student_id,favorite_team,demographic,low_income,first_gen
027e6069,Milwaukee Brewers,Water,No,No
0284ffd3,Washington Nationals,Grass,Yes,Yes
0285c3f2,Milwaukee Brewers,Water,No,No
028a0ff7,Milwaukee Brewers,Fire,Yes,No
02954836,Washington Nationals,Psychic,Yes,No
029a20aa,Washington Nationals,Water,No,No
02a78305,Washington Nationals,Water,Yes,No
02a8eff4,Milwaukee Brewers,Water,No,Unknown
02abb1a3,Washington Nationals,Fire,Yes,No
02bc4ea5,Washington Nationals,Grass,No,No
02c50cf5,Washington Nationals,Grass,No,No
02d102dc,Washington Nationals,Water,Yes,No
02deed3e,Washington Nationals,Fire,Yes,Yes
02e23211,Washington Nationals,Fire,Yes,Yes
02f29f41,Milwaukee Brewers,Dragon,No,No
030b7bdd,Washington Nationals,Water,No,No
030eebb4,Washington Nationals,Water,No,No
03196fe9,Milwaukee Brewers,Fire,Yes,Yes
031de193,Washington Nationals,Fairy,Yes,Yes
032cfe10,Washington Nationals,Fire,Yes,No
0334c8e1,Milwaukee Brewers,Water,No,No
033e09f0,Milwaukee Brewers,Water,Yes,No
0343db36,Baltimore Orioles,Water,No,Yes
034bc225,Baltimore Orioles,Fairy,No,No
0356ce4c,Washington Nationals,Fire,Yes,No
035f0f8c,Washington Nationals,Fire,No,No
03644765,Washington Nationals,Fire,Yes,No
0368e207,Washington Nationals,Water,No,No
0373efff,Milwaukee Brewers,Fire,Yes,Yes
03812788,Washington Nationals,Water,Yes,No
03925d25,Washington Nationals,Water,No,No
039689d0,Washington Nationals,Fire,Yes,Yes
03a90bc8,Milwaukee Brewers,Water,No,Yes
03b32e3b,Milwaukee Brewers,Grass,No,No
03b54056,Washington Nationals,Grass,No,Yes
03b6e841,Washington Nationals,Fire,Yes,Yes
03bb0b9f,Milwaukee Brewers,Fire,Yes,Yes
03c01b13,Washington Nationals,Grass,Yes,No
03c72b28,Washington Nationals,Grass,No,No
03cbc093,Milwaukee Brewers,Fire,No,No
03d3341d,Washington Nationals,Water,No,No
03d69fff,Milwaukee Brewers,Fairy,No,No
03e200f6,Milwaukee Brewers,Grass,No,No
03fb89d3,Milwaukee Brewers,Dragon,Yes,No
03ff14f6,Milwaukee Brewers,Fairy,No,No
04058499,Washington Nationals,Dragon,Yes,No
041af2ec,Milwaukee Brewers,Water,No,No
041d6c97,Milwaukee Brewers,Grass,No,No
042fbc85,Washington Nationals,Fire,No,Yes
0431339a,Washington Nationals,Water,No,No
043afad2,Washington Nationals,Fire,Yes,Yes
043c5835,Milwaukee Brewers,Fire,No,Yes
044b6c0c,Milwaukee Brewers,Water,Yes,Unknown
044e37bd,Washington Nationals,Water,Yes,No
0469aeda,Milwaukee Brewers,Dragon,No,No
0470c551,Milwaukee Brewers,Fire,Yes,No
047b5ce4,Milwaukee Brewers,Dragon,No,No
04a66bfa,Washington Nationals,Fire,Yes,Yes
04b56a91,Milwaukee Brewers,Grass,No,No
04b7963b,Washington Nationals,Water,No,Yes
04bbd133,Milwaukee Brewers,Water,No,No
04c0e11c,Milwaukee Brewers,Grass,No,No
04d3f68b,Milwaukee Brewers,Water,No,No
04e92bdb,Washington Nationals,Fire,Yes,Yes
04fcdfe2,Milwaukee Brewers,Fire,Yes,Yes
0509fad2,Milwaukee Brewers,Fire,Yes,Unknown
0518b81d,Milwaukee Brewers,Grass,No,No
0519bb2a,Washington Nationals,Fire,No,No
0530d2d9,Milwaukee Brewers,Grass,No,No
0531dd1d,Washington Nationals,Grass,Yes,Unknown
0535008e,Washington Nationals,Dragon,No,No
053edec1,Milwaukee Brewers,Fire,Yes,Yes
053fdf3e,Milwaukee Brewers,Water,No,No
05402ee0,Washington Nationals,Grass,No,No
0557a7e8,Milwaukee Brewers,Fire,Yes,No
055c2a6b,Washington Nationals,Water,Yes,No
05771b8f,Milwaukee Brewers,Water,Yes,Yes
057cbeb7,Milwaukee Brewers,Dragon,Yes,No
057fc16f,Washington Nationals,Water,No,No
059030ee,Milwaukee Brewers,Water,No,No
05910b56,Milwaukee Brewers,Water,Yes,Yes
0593fe82,Washington Nationals,Psychic,Yes,No
059740e5,Washington Nationals,Fire,Yes,No
05980a30,Milwaukee Brewers,Water,No,No
059e8914,Milwaukee Brewers,Fire,Yes,Unknown
059f0264,Milwaukee Brewers,Fairy,Yes,Unknown
05a3ce70,Milwaukee Brewers,Water,No,Unknown
05a58093,Milwaukee Brewers,Fire,No,No
05ac9fb4,Washington Nationals,Fire,Yes,No
05dde104,Washington Nationals,Dragon,No,No
05e4c92b,Washington Nationals,Water,No,No
05e5f6a3,Washington Nationals,Fire,Yes,No
05e700c0,Washington Nationals,Water,No,No
0639f8b5,Milwaukee Brewers,Water,No,No
063a1673,Washington Nationals,Dragon,Yes,No
063b183d,Milwaukee Brewers,Grass,Yes,No
064e6625,Washington Nationals,Water,No,No
064ea52f,Milwaukee Brewers,Water,Yes,No
0651f08a,Milwaukee Brewers,Water,No,No
065f8b45,Milwaukee Brewers,Grass,No,No
06605a3b,Milwaukee Brewers,Water,Yes,No
06654ef5,Washington Nationals,Psychic,No,Yes
0667b9a3,Washington Nationals,Water,No,Yes
067018cc,Milwaukee Brewers,Grass,No,No
06704279,Milwaukee Brewers,Water,No,No
0674f9d2,Milwaukee Brewers,Fire,Yes,No
0685921c,Milwaukee Brewers,Fire,No,No
069f5548,Baltimore Orioles,Fire,Yes,No
06a220a3,Washington Nationals,Water,Yes,No
06b81a35,Washington Nationals,Grass,No,No
06bbac2d,Milwaukee Brewers,Water,No,Yes
06bcd5cc,Milwaukee Brewers,Water,No,No
06bf0456,Washington Nationals,Fire,No,Unknown
06d46555,Milwaukee Brewers,Fire,Yes,Yes
06daedac,Milwaukee Brewers,Grass,No,No
06e0efce,Washington Nationals,Fire,No,No
06e25391,Washington Nationals,Grass,No,No
06f0b050,Washington Nationals,Water,Yes,Yes
06f3a8df,Washington Nationals,Fire,Yes,Yes
06f6351d,Milwaukee Brewers,Fairy,Yes,No
06f8104f,Washington Nationals,Fire,Yes,No
06fa0b0a,Washington Nationals,Fire,Yes,Yes
07214d1e,Milwaukee Brewers,Fire,No,Yes
0724ca8c,Washington Nationals,Fairy,No,No
072501b3,Milwaukee Brewers,Water,No,No
0735e80b,Washington Nationals,Fairy,No,No
073f9cdf,Washington Nationals,Dragon,Yes,No
0740603f,Milwaukee Brewers,Water,No,No
074c8f42,Baltimore Orioles,Water,No,No
074e7059,Milwaukee Brewers,Water,No,No
075005e8,Milwaukee Brewers,Fire,Yes,No
0757d089,Washington Nationals,Water,No,No
07653634,Washington Nationals,Fire,No,No
0768aed2,Washington Nationals,Water,No,No
076a2646,Milwaukee Brewers,Dragon,Yes,No
076d5789,Washington Nationals,Water,No,Yes
076deaa7,Milwaukee Brewers,Fire,Yes,Yes
0785b8ef,Milwaukee Brewers,Grass,No,No
07868dbe,Washington Nationals,Dragon,No,No
0798fa08,Milwaukee Brewers,Fairy,No,No
079f9dfc,Milwaukee Brewers,Water,No,No
07a57b9a,Milwaukee Brewers,Water,Yes,No
07aa9485,Washington Nationals,Water,No,No
07b1cf4c,Washington Nationals,Water,No,No
07b281a3,Washington Nationals,Fire,No,No
07b45900,Milwaukee Brewers,Fairy,No,No
07bd97c5,Milwaukee Brewers,Fire,Yes,Yes
07dcb04b,Washington Nationals,Fire,No,Yes
07df7705,Milwaukee Brewers,Water,Yes,No
07e4c56c,Milwaukee Brewers,Water,No,No
07eac0da,Milwaukee Brewers,Dragon,Yes,No
07ed1b5b,Milwaukee Brewers,Fire,Yes,Yes
07f8da84,Washington Nationals,Fire,Yes,No
07f96a60,Milwaukee Brewers,Grass,No,No
07fce892,Milwaukee Brewers,Water,No,Yes
08277e27,Washington Nationals,Dragon,No,No
082b97cd,Washington Nationals,Dragon,No,No
082d6df4,Washington Nationals,Grass,Yes,No
08436378,Washington Nationals,Water,No,No
084b9d00,Washington Nationals,Psychic,Yes,Yes
084bda40,Milwaukee Brewers,Grass,No,No
085f6ccd,Washington Nationals,Fire,Yes,Yes
08621bc9,Washington Nationals,Water,Yes,No
0862250e,Milwaukee Brewers,Dragon,Yes,No
086a9b78,Milwaukee Brewers,Water,Yes,No
086c68d3,Washington Nationals,Water,No,No
086dd16b,Washington Nationals,Water,No,No
0886de7b,Milwaukee Brewers,Dragon,No,No
0889b469,Washington Nationals,Fire,Yes,Yes
088ec7d0,Milwaukee Brewers,Grass,Yes,Yes
088edeb1,Milwaukee Brewers,Fairy,No,No
08bbefb2,Milwaukee Brewers,Fairy,No,No
08bdf4bd,Washington Nationals,Water,No,No
08d5833f,Washington Nationals,Fire,Yes,No
08d8d8ae,Baltimore Orioles,Water,No,No
08e3b892,Milwaukee Brewers,Water,No,No
08e8799a,Milwaukee Brewers,Grass,No,No
08e9a608,Milwaukee Brewers,Fire,Yes,Yes
08f45d9e,Washington Nationals,Fire,No,No
090d7f43,Milwaukee Brewers,Fire,Yes,No
090dd51e,Milwaukee Brewers,Water,No,No
091e56ef,Milwaukee Brewers,Fire,Yes,Yes
09264c90,Washington Nationals,Grass,No,No
09291546,Washington Nationals,Grass,No,No
092af11b,Washington Nationals,Grass,No,No
0931047c,Washington Nationals,Fire,No,Yes
0932c5cf,Milwaukee Brewers,Fire,Yes,Yes
0937f869,Washington Nationals,Fire,No,Yes
093fe0a6,Washington Nationals,Fire,No,No
0944e97f,Milwaukee Brewers,Water,No,No
09488c56,Milwaukee Brewers,Grass,No,No
0950a6c2,Washington Nationals,Fire,No,No
0957de1b,Milwaukee Brewers,Water,No,No
09586c8c,Washington Nationals,Grass,No,No
096ca89d,Milwaukee Brewers,Fire,No,No
096f6d56,Milwaukee Brewers,Water,No,No
09764207,Milwaukee Brewers,Water,No,No
09776b66,Washington Nationals,Fire,Yes,Yes
098543bf,Washington Nationals,Fairy,No,No
09870e98,Milwaukee Brewers,Grass,No,No
09886d41,Washington Nationals,Water,No,No
09924b8b,Washington Nationals,Fire,No,No
099669fa,Washington Nationals,Dragon,No,No
09a00459,Milwaukee Brewers,Grass,No,No
09a036a5,Milwaukee Brewers,Water,No,No
09a26b2b,Washington Nationals,Water,Yes,No
09a5adc3,Washington Nationals,Grass,No,No
09b2ae55,Washington Nationals,Fire,Yes,Unknown
09ba6605,Milwaukee Brewers,Water,No,No
09bfaa56,Milwaukee Brewers,Fire,Yes,Yes
09c1178e,Milwaukee Brewers,Psychic,No,No
09c3789f,Washington Nationals,Water,No,No
09c8c60e,Washington Nationals,Water,Yes,No
09c949f7,Washington Nationals,Dragon,No,No
09ca2270,Milwaukee Brewers,Water,No,No
09cceaf1,Milwaukee Brewers,Water,Yes,Yes
09d615e7,Washington Nationals,Dragon,No,No
09d70341,Washington Nationals,Fire,No,No
09f5239a,Milwaukee Brewers,Psychic,Yes,No
0a1032ec,Milwaukee Brewers,Water,No,No
0a112716,Washington Nationals,Dragon,Yes,No
0a17e296,Milwaukee Brewers,Dragon,No,No
0a20e871,Washington Nationals,Water,No,No
0a235b01,Washington Nationals,Water,Yes,No
0a27f51b,Washington Nationals,Fire,No,No
0a30b7c8,Milwaukee Brewers,Dragon,No,No
0a3b67a3,Washington Nationals,Fire,Yes,No
0a449886,Milwaukee Brewers,Grass,No,No
0a47c80f,Milwaukee Brewers,Fairy,No,No
0a4b28ff,Washington Nationals,Grass,Yes,Yes
0a5479ea,Milwaukee Brewers,Water,No,No
0a5ea498,Milwaukee Brewers,Water,No,No
0a641420,Washington Nationals,Dragon,No,No
0a6f449c,Washington Nationals,Water,No,No
0a754f46,Washington Nationals,Fire,Yes,No
0a770fcc,Washington Nationals,Grass,Yes,Unknown
0a79c3a4,Milwaukee Brewers,Water,No,No
0a7e0ab8,Washington Nationals,Grass,No,No
0a7efbc4,Milwaukee Brewers,Fairy,No,No
0a8289f4,Milwaukee Brewers,Grass,No,No
0a848e4e,Milwaukee Brewers,Water,No,No
0a89ed1f,Milwaukee Brewers,Water,No,Unknown
0a8bb0c1,Milwaukee Brewers,Dragon,Yes,No
0a9a26b9,Washington Nationals,Grass,No,No
0aa7dc71,Washington Nationals,Fire,No,No
0ab5f44a,Washington Nationals,Grass,No,No
0ab9eda7,Washington Nationals,Fire,No,No
0abdc0af,Milwaukee Brewers,Dragon,No,No
0ac31dab,Washington Nationals,Fire,Yes,No
0ac5050c,Washington Nationals,Water,No,No
0acdb835,Milwaukee Brewers,Water,No,No
0b024584,Milwaukee Brewers,Water,No,No
0b05a845,Washington Nationals,Water,No,No
0b0a19db,Milwaukee Brewers,Fire,Yes,No
0b0b4775,Washington Nationals,Fire,Yes,Yes
0b18ca39,Milwaukee Brewers,Grass,No,No
0b1c0ee2,Milwaukee Brewers,Water,No,No
0b1c262e,Milwaukee Brewers,Fire,No,Yes
0b28bfec,Washington Nationals,Water,No,No
0b4dcb0f,Washington Nationals,Fire,Yes,No
0b5844fd,Washington Nationals,Fire,Yes,Yes
0b6640f9,Milwaukee Brewers,Water,No,Yes
0b6743ca,Washington Nationals,Fire,Yes,Yes
0b70ff40,Washington Nationals,Fire,No,Unknown
0b770d33,Washington Nationals,Grass,No,No
0b7dd6a6,Washington Nationals,Fire,No,Yes
0b90b781,Washington Nationals,Water,No,No
0b92e10a,Milwaukee Brewers,Water,No,No
0ba4d40f,Milwaukee Brewers,Water,No,No
0ba6745e,Milwaukee Brewers,Water,No,No
0baa0a3c,Milwaukee Brewers,Water,Yes,No
0bafb249,Milwaukee Brewers,Fire,Yes,Unknown
0bb0b43f,Washington Nationals,Water,Yes,No
0bb3eedd,Milwaukee Brewers,Fire,Yes,Yes
0bce3ee1,Milwaukee Brewers,Fire,No,No
0bd88bce,Washington Nationals,Water,No,No
0bdaa43b,Milwaukee Brewers,Water,No,No
0bdc2a7c,Washington Nationals,Fire,Yes,Yes
0bdf53c9,Milwaukee Brewers,Fire,No,Yes
0be4e79e,Milwaukee Brewers,Dragon,No,Unknown
0bee3eed,Washington Nationals,Fire,Yes,No
0beea231,Washington Nationals,Water,No,No
0bfb643a,Washington Nationals,Fire,Yes,Yes
0bfd27e1,Washington Nationals,Fire,Yes,Yes
0c01a4a1,Milwaukee Brewers,Fire,No,No
0c0acfc0,Milwaukee Brewers,Water,No,No
0c1129a9,Milwaukee Brewers,Water,No,No
0c252f97,Washington Nationals,Water,No,No
0c2f790b,Washington Nationals,Water,No,No
0c3c22d1,Milwaukee Brewers,Fire,Yes,Yes
0c3d2bb7,Milwaukee Brewers,Water,No,No
0c40fcc1,Milwaukee Brewers,Fire,Yes,Unknown
0c4fff01,Milwaukee Brewers,Fire,Yes,No
0c59147e,Milwaukee Brewers,Water,No,No
0c604ccb,Milwaukee Brewers,Water,Yes,No
0c7bfc42,Washington Nationals,Fairy,Yes,No
0c7d6205,Washington Nationals,Water,No,Yes
0c7f0754,Milwaukee Brewers,Dragon,No,No
0c8afe62,Milwaukee Brewers,Grass,No,No
0c8d672b,Milwaukee Brewers,Fairy,No,No
0c97b01b,Milwaukee Brewers,Fire,Yes,Yes
0c98314a,Washington Nationals,Water,Yes,No
0c9d6e80,Washington Nationals,Water,Yes,No
0cb7d052,Milwaukee Brewers,Water,No,No
0cb8664d,Washington Nationals,Dragon,No,No
0cc5c67a,Washington Nationals,Fire,Yes,Yes
0cd5943f,Milwaukee Brewers,Water,No,No
0cd62a56,Baltimore Orioles,Water,No,No
0cde9df0,Milwaukee Brewers,Fire,No,No
0d014baa,Washington Nationals,Water,No,No
0d0bb7f3,Milwaukee Brewers,Fire,No,No
0d16d64b,Milwaukee Brewers,Fire,No,No
0d287cb7,Washington Nationals,Grass,Yes,No
0d296dd5,Milwaukee Brewers,Water,Yes,No
0d2a70ef,Washington Nationals,Fire,Yes,No
0d2edaea,Washington Nationals,Psychic,No,No
0d395ba5,Milwaukee Brewers,Fire,Yes,Yes
0d43fd2f,Washington Nationals,Water,Yes,No
0d4d93d6,Washington Nationals,Fairy,Yes,No
0d5360cc,Milwaukee Brewers,Dragon,No,No
0d54054e,Milwaukee Brewers,Grass,No,No
0d65abef,Milwaukee Brewers,Water,Yes,Yes
0d6b87e0,Washington Nationals,Fire,No,No
0d6edaea,Milwaukee Brewers,Water,No,No
0d725a58,Milwaukee Brewers,Water,No,No
0d7af086,Washington Nationals,Grass,Yes,No
0d803d13,Milwaukee Brewers,Fairy,No,No
0d860f25,Washington Nationals,Water,No,No
0d879025,Milwaukee Brewers,Fairy,No,No
0d8ac371,Milwaukee Brewers,Psychic,Yes,No
0d8cb9e5,Milwaukee Brewers,Fire,Yes,No
0d8d848f,Milwaukee Brewers,Water,Yes,No
0d9bb29c,Milwaukee Brewers,Dragon,No,No
0da5fc27,Milwaukee Brewers,Fire,No,No
0da88ce7,Milwaukee Brewers,Grass,No,No
0dadb8f1,Milwaukee Brewers,Water,No,No
0daf2156,Washington Nationals,Fire,Yes,Yes
0db7c3c9,Milwaukee Brewers,Water,Yes,No
0db80df4,Washington Nationals,Grass,Yes,Yes
0dc6af0c,Washington Nationals,Fire,Yes,Unknown
0dcec025,Washington Nationals,Psychic,Yes,No
0dd24279,Washington Nationals,Water,No,No
0ddc7f33,Washington Nationals,Dragon,No,No
0de07dcb,Milwaukee Brewers,Grass,No,No
0de09e0e,Washington Nationals,Fire,No,No
0de1d92d,Milwaukee Brewers,Grass,No,No
0e050d31,Milwaukee Brewers,Water,No,No
0e07a789,Washington Nationals,Grass,No,No
0e09918e,Washington Nationals,Fire,Yes,Yes
0e15e017,Milwaukee Brewers,Water,No,No
0e236859,Milwaukee Brewers,Grass,No,No
0e29057c,Milwaukee Brewers,Water,Yes,Yes
0e2aeb21,Milwaukee Brewers,Water,No,No
0e2d5841,Milwaukee Brewers,Psychic,Yes,No
0e3fa126,Milwaukee Brewers,Grass,No,No
0e4734d2,Washington Nationals,Water,No,No
0e4c17e0,Milwaukee Brewers,Fairy,Yes,Yes
0e4ce382,Washington Nationals,Water,No,No
0e55bba7,Washington Nationals,Fire,No,No
0e55deb0,Washington Nationals,Water,Yes,No
0e57cf51,Washington Nationals,Grass,No,No
0e5acc01,Washington Nationals,Dragon,No,No
0e5b27b9,Milwaukee Brewers,Water,Yes,No
0e67ac36,Washington Nationals,Grass,No,No
0e6a06e4,Washington Nationals,Grass,No,No
0e78a248,Washington Nationals,Fire,Yes,No
0e78c95f,Washington Nationals,Grass,No,No
0e7a209d,Washington Nationals,Grass,No,No
0e7aa722,Milwaukee Brewers,Grass,Yes,No
0e7b12cb,Milwaukee Brewers,Water,No,No
0e7e4f45,Milwaukee Brewers,Water,Yes,Yes
0e81f38a,Milwaukee Brewers,Water,Yes,No
0e83ca58,Milwaukee Brewers,Grass,Yes,No
0e8d7010,Washington Nationals,Fire,Yes,Yes
0e9627f6,Milwaukee Brewers,Fire,No,Unknown
0e9d012d,Milwaukee Brewers,Grass,Yes,No
0ea8f40e,Washington Nationals,Fire,Yes,Yes
0ea92cba,Washington Nationals,Water,Yes,No
0ebeca07,Washington Nationals,Water,No,No
0ece5742,Washington Nationals,Dragon,No,No
0ed3b74a,Milwaukee Brewers,Dragon,No,Yes
0ed6d70f,Washington Nationals,Fire,Yes,Yes
0ed8b6e6,Baltimore Orioles,Fire,No,No
0edb7b26,Washington Nationals,Water,Yes,No
0edc40fb,Washington Nationals,Fire,Yes,No
0eddeb1d,Milwaukee Brewers,Fire,No,Yes
0edfb33c,Milwaukee Brewers,Water,No,No
0ee2cbb3,Washington Nationals,Water,No,No
0ee53bcd,Washington Nationals,Water,No,No
0ee77e37,Washington Nationals,Fire,No,Yes
0eedb2dc,Milwaukee Brewers,Water,No,Yes
0eee7c8e,Washington Nationals,Grass,Yes,No
0f0a0d97,Milwaukee Brewers,Psychic,No,No
0f0f0905,Washington Nationals,Fire,Yes,Yes
0f1d30b1,Milwaukee Brewers,Grass,No,No
0f20ea8f,Milwaukee Brewers,Water,Yes,Yes
0f267a8d,Milwaukee Brewers,Fire,Yes,No
0f278ea4,Washington Nationals,Dragon,Yes,No
0f2ebafa,Milwaukee Brewers,Fire,Yes,No
0f32b44f,Milwaukee Brewers,Water,No,No
0f393b0a,Milwaukee Brewers,Water,No,No
0f3f4fb7,Washington Nationals,Water,No,No
0f428254,Washington Nationals,Water,No,No
0f5773bd,Washington Nationals,Fire,Yes,Yes
0f5bb3df,Milwaukee Brewers,Fire,Yes,Yes
0f6236ba,Washington Nationals,Fire,Yes,Unknown
0f68ab7a,Milwaukee Brewers,Water,No,No
0f6c194d,Milwaukee Brewers,Dragon,Yes,No
0f6f56ec,Milwaukee Brewers,Water,No,No
0f7307cf,Milwaukee Brewers,Water,Yes,No
0f73ca0c,Washington Nationals,Fire,No,No
0f7526e4,Washington Nationals,Psychic,Yes,Yes
0f80940a,Milwaukee Brewers,Grass,No,No
0f8244ea,Milwaukee Brewers,Grass,No,No
0f8ee20f,Milwaukee Brewers,Grass,No,No
0f934744,Washington Nationals,Grass,No,No
0f963c99,Milwaukee Brewers,Water,No,No
0fa4113f,Washington Nationals,Fire,Yes,Unknown
0fd1d9e3,Milwaukee Brewers,Water,Yes,Unknown
0fd66273,Washington Nationals,Fire,Yes,No
0fdbfafb,Milwaukee Brewers,Water,No,No
0fe3cee6,Washington Nationals,Water,No,Yes
0ff806b0,Washington Nationals,Water,No,No
1002bd76,Milwaukee Brewers,Water,No,No
1006a081,Washington Nationals,Water,No,No
10074aeb,Milwaukee Brewers,Fire,Yes,No
100fe29e,Washington Nationals,Water,Yes,No
101b8999,Washington Nationals,Fire,Yes,Yes
10212e6f,Washington Nationals,Fire,No,Yes
1027bb0c,Milwaukee Brewers,Grass,No,No
102fd01a,Washington Nationals,Fire,No,No
10356be5,Milwaukee Brewers,Water,No,No
1038016a,Milwaukee Brewers,Water,No,No
104b19f4,Milwaukee Brewers,Grass,No,No
10501588,Milwaukee Brewers,Dragon,No,No
10514032,Milwaukee Brewers,Water,No,No
1065217f,Washington Nationals,Grass,No,No
1067e5f5,Washington Nationals,Water,No,No
107a5234,Milwaukee Brewers,Fire,Yes,No
1086cc50,Milwaukee Brewers,Grass,No,No
109354c0,Milwaukee Brewers,Psychic,Yes,No
109426ee,Washington Nationals,Water,No,No
10a8b16f,Washington Nationals,Fire,No,Yes
10b3cf4c,Washington Nationals,Fire,Yes,No
10b4c2ee,Milwaukee Brewers,Fire,No,Yes
10bd5569,Milwaukee Brewers,Psychic,Yes,No
10c9ea45,Milwaukee Brewers,Water,No,Unknown
10d0153b,Washington Nationals,Water,No,No
10d7ebc6,Milwaukee Brewers,Water,No,No
10da6d69,Milwaukee Brewers,Fire,Yes,No
10e19b3d,Milwaukee Brewers,Dragon,No,No
11038fbd,Washington Nationals,Fire,No,No
11086504,Milwaukee Brewers,Fire,Yes,Yes
1110d80c,Washington Nationals,Water,Yes,No
1124f46b,Washington Nationals,Fire,Yes,Yes
112e905f,Milwaukee Brewers,Fire,Yes,Yes
11325d0f,Milwaukee Brewers,Water,Yes,No
1136fa69,Milwaukee Brewers,Psychic,No,No
113936ec,Milwaukee Brewers,Fairy,No,No
113b6831,Milwaukee Brewers,Fire,Yes,No
11429a64,Washington Nationals,Grass,No,Yes
114a2fc7,Milwaukee Brewers,Water,Yes,No
114f3c10,Milwaukee Brewers,Fire,Yes,No
11556ea8,Milwaukee Brewers,Grass,No,No
1158a5df,Washington Nationals,Fire,No,No
115a64d8,Washington Nationals,Grass,No,No
11660c4e,Milwaukee Brewers,Fire,Yes,Yes
116978af,Milwaukee Brewers,Fire,Yes,No
116fdc85,Washington Nationals,Fire,No,No
1177252a,Washington Nationals,Water,No,No
117d23fd,Milwaukee Brewers,Water,No,Yes
11825bee,Milwaukee Brewers,Water,No,No
1184a87b,Milwaukee Brewers,Fire,Yes,No
1193eb35,Milwaukee Brewers,Water,Yes,No
11a5ae2c,Milwaukee Brewers,Grass,Yes,No
11aa1df8,Washington Nationals,Fire,No,No
11b0f08d,Milwaukee Brewers,Water,Yes,No
11b553ef,Milwaukee Brewers,Grass,No,No
11c7ecd7,Milwaukee Brewers,Water,Yes,No
11cd15c9,Washington Nationals,Water,No,Yes
11d7d160,Washington Nationals,Grass,No,No
11f2299e,Washington Nationals,Fire,No,No
120b2c25,Milwaukee Brewers,Grass,Yes,Unknown
121b26db,Milwaukee Brewers,Water,Yes,No
1221b120,Washington Nationals,Water,No,No
1238994b,Washington Nationals,Fire,Yes,Yes
123950b1,Washington Nationals,Water,No,No
