term_code,course_id,subject,course_num,student_id,final_grade
Fall 2021,d57c4893,Mahjong Strategy,010,27f2b247,C
Fall 2021,21c1733e,Mahjong Strategy,010,ba7eb5ce,W
Fall 2021,7cc76cd0,Mahjong Strategy,012,ba7eb5ce,W
Fall 2021,86753e4c,Mahjong Strategy,012,678cf918,W
Fall 2021,10672195,Crocheting,001,86d17169,C
Fall 2021,b798bdce,Apple Picking,088A,0de09e0e,EW
Fall 2021,9361d0dd,Apple Picking,049A,cf44aeb7,A
Fall 2021,92c656a9,Mahjong Strategy,012,49dc1c2b,W
Fall 2021,ad3dd7f3,Apple Picking,010,8b4f1a9d,W
Fall 2021,5cad6517,Apple Picking,057A,296b9032,W
Fall 2021,86753e4c,Mahjong Strategy,012,a44b77ee,W
Fall 2021,7a20bf6b,Apple Picking,031A,842ca80a,B
Fall 2021,e7c85d2a,Eel Catching,903,842ca80a,W
Fall 2021,d8c31d62,Apple Picking,067B,4a4ad1dc,A
Fall 2021,54a79340,Apple Picking,033A,42426c3b,A
Fall 2021,866ee257,Apple Picking,047A,42426c3b,A
Fall 2021,a313bc87,Apple Picking,081,8b1d5715,W
Fall 2021,1fcd95ce,Crocheting,020,cb801070,B
Fall 2021,154b06ca,Eel Catching,001B,ba22adba,A
Fall 2021,09d7b85f,Crocheting,004,c1ae6a87,A
Fall 2021,3d7720b2,Mahjong Strategy,010,c1ae6a87,A
Fall 2021,f0a4d7a5,Mahjong Strategy,000D,522e4908,W
Fall 2021,b798bdce,Apple Picking,088A,85d78c52,P
Fall 2021,05cf8dbc,Crocheting,001,4674f896,A
Fall 2021,12b00db1,Crocheting,001,e831b22b,B
Fall 2021,b28e5be6,Eel Catching,001A,7642d099,A
Fall 2021,b798bdce,Apple Picking,088A,0b6640f9,F
Fall 2021,3b4485c7,Apple Picking,001E,b6e577a0,A
Fall 2021,2a2fe6ac,Eel Catching,001B,b6e577a0,A
Fall 2021,2cb81496,Mahjong Strategy,010,b6e577a0,A
Fall 2021,cf709a6a,Mahjong Strategy,003B,b858c381,A
Fall 2021,24c17302,Crocheting,012,3c28612b,W
Fall 2021,7ee88e20,Eel Catching,905,b6b9accb,P
Fall 2021,042e1956,Eel Catching,001A,d7e38c54,A
Fall 2021,50af4a61,Crocheting,001,7492ad51,F
Fall 2021,bd0e4c87,Apple Picking,001A,4872ac5f,C
Fall 2021,0ac56725,Apple Picking,035A,0cb8664d,A
Fall 2021,9de80aef,Crocheting,010,4937d6e5,A
Fall 2021,64433aee,Mahjong Strategy,010,13de3fc2,W
Fall 2021,b3d50d99,Crocheting,004,5ec6ddd8,A
Fall 2021,1b7dfa83,Apple Picking,067A,06b81a35,P
Fall 2021,21c1733e,Mahjong Strategy,010,ebffea6f,B
Fall 2021,3d7720b2,Mahjong Strategy,010,7f10a16d,A
Fall 2021,bdb342e0,Eel Catching,001B,c4f10c00,A
Fall 2021,da6775dc,Mahjong Strategy,106,9ce6c4c9,B
Fall 2021,6f451884,Mahjong Strategy,106C,9ce6c4c9,P
Fall 2021,7c38ba0a,Eel Catching,001C,7e924588,D
Fall 2021,486b03b3,Crocheting,008,0b28bfec,A
Fall 2021,73edd4c4,Mahjong Strategy,010,0b28bfec,A
Fall 2021,737a6e55,Mahjong Strategy,010C,0b28bfec,P
Fall 2021,b3c3b41f,Apple Picking,055,01bce05d,A
Fall 2021,93afe466,Apple Picking,062C,01bce05d,A
Fall 2021,a0c0d00d,Eel Catching,080,01bce05d,A
Fall 2021,759a3a3b,Mahjong Strategy,010,076deaa7,W
Fall 2021,f38e01c7,Mahjong Strategy,010,ec8d2f08,A
Fall 2021,7cc76cd0,Mahjong Strategy,012,92d1b18f,A
Fall 2021,500c675e,Eel Catching,001B,fecffbdc,A
Fall 2021,dff84d37,Mahjong Strategy,010,fecffbdc,A
Fall 2021,c9951997,Mahjong Strategy,003A,9247f2fa,W
Fall 2021,17755f39,Eel Catching,001B,b69b1d22,B
Fall 2021,2a2fe6ac,Eel Catching,001B,a09e0731,W
Fall 2021,1785d519,Mahjong Strategy,106,a09e0731,B
Fall 2021,84e3a411,Mahjong Strategy,002,2a3493ac,W
Fall 2021,f65e24e0,Crocheting,001,32ee018c,A
Fall 2021,254ef9b2,Eel Catching,001A,32ee018c,B
Fall 2021,12da36be,Mahjong Strategy,002,32ee018c,B
Fall 2021,25bc76d9,Mahjong Strategy,004A,6faa3aa2,A
Fall 2021,4bac50c1,Eel Catching,001B,cad7a50d,A
Fall 2021,e68fdbac,Apple Picking,031B,a73bbdc8,A
Fall 2021,b9e74317,Apple Picking,049B,a73bbdc8,A
Fall 2021,63947760,Crocheting,001,a98a33bf,B
Fall 2021,2c59007a,Eel Catching,001B,66ff53f7,W
Fall 2021,053baf3b,Apple Picking,065B,5d5117f8,A
Fall 2021,e68fdbac,Apple Picking,031B,1c60c890,A
Fall 2021,759a3a3b,Mahjong Strategy,010,169acca0,W
Fall 2021,546f214a,Mahjong Strategy,010,40c11304,W
Fall 2021,6afb8359,Mahjong Strategy,010C,40c11304,W
Fall 2021,1785d519,Mahjong Strategy,106,cf8173e3,C
Fall 2021,48d753ff,Mahjong Strategy,106,c203d0aa,A
Fall 2021,d57c4893,Mahjong Strategy,010,68a60aa9,B
Fall 2021,1785d519,Mahjong Strategy,106,f4403be4,B
Fall 2021,2bfe8e62,Mahjong Strategy,012,827bddf3,A
Fall 2021,88823e19,Mahjong Strategy,012C,827bddf3,P
Fall 2021,c9951997,Mahjong Strategy,003A,7e144741,W
Fall 2021,86753e4c,Mahjong Strategy,012,728cb084,B
Fall 2021,de191b8d,Apple Picking,062B,9b01f35a,A
Fall 2021,7c70f34c,Eel Catching,001B,e327f5b0,B
Fall 2021,1785d519,Mahjong Strategy,106,e327f5b0,B
Fall 2021,d815c569,Eel Catching,001A,dfdc554b,A
Fall 2021,20e84103,Mahjong Strategy,004C,bf4f9f5e,B
Fall 2021,fe869aae,Mahjong Strategy,010,f674c7fa,W
Fall 2021,2c59007a,Eel Catching,001B,c1f31e7c,W
Fall 2021,d57c4893,Mahjong Strategy,010,d2ff6d86,C
Fall 2021,f42de7fd,Mahjong Strategy,010,457fda0a,A
Fall 2021,732fc83b,Crocheting,001,4e8743ae,W
Fall 2021,64433aee,Mahjong Strategy,010,4e8743ae,W
Fall 2021,5b8d654a,Eel Catching,001A,0b770d33,A
Fall 2021,fe869aae,Mahjong Strategy,010,7756ad5e,F
Fall 2021,16d0b9f9,Crocheting,001,cbc2934f,A
Fall 2021,d28c2666,Eel Catching,001C,ac241901,EW
Fall 2021,d2c536c9,Mahjong Strategy,003A,ac241901,A
Fall 2021,df973434,Mahjong Strategy,004B,c618356f,A
Fall 2021,1fcd95ce,Crocheting,020,e861e973,A
Fall 2021,dff84d37,Mahjong Strategy,010,bc5ac9c1,F
Fall 2021,0412b3e7,Apple Picking,004,a729ed15,B
Fall 2021,80389344,Eel Catching,001A,a729ed15,C
Fall 2021,1785d519,Mahjong Strategy,106,a729ed15,A
Fall 2021,1785d519,Mahjong Strategy,106,2f3fe738,W
Fall 2021,f0048614,Apple Picking,057A,78a9c870,C
Fall 2021,1fcd95ce,Crocheting,020,89fed5fa,W
Fall 2021,328cbbf4,Mahjong Strategy,010,f95a1968,C
Fall 2021,732fc83b,Crocheting,001,cefdab3e,A
Fall 2021,12da36be,Mahjong Strategy,002,85b98c90,A
Fall 2021,86bf8463,Mahjong Strategy,019,85b98c90,W
Fall 2021,7ee88e20,Eel Catching,905,f629682a,W
Fall 2021,92c656a9,Mahjong Strategy,012,383a939a,C
Fall 2021,f4335eb5,Mahjong Strategy,106,58f361ec,C
Fall 2021,e68fdbac,Apple Picking,031B,3db090f3,B
Fall 2021,acb466a9,Mahjong Strategy,002,675735fd,B
Fall 2021,320bf14c,Crocheting,001,acc60f1e,B
Fall 2021,2c59007a,Eel Catching,001B,acc60f1e,W
Fall 2021,b3d50d99,Crocheting,004,56f5ccb5,B
Fall 2021,483fd22e,Mahjong Strategy,106,56f5ccb5,C
Fall 2021,99563417,Eel Catching,001B,fced3e2b,B
Fall 2021,12da36be,Mahjong Strategy,002,1ec31903,F
Fall 2021,08de57b8,Crocheting,007,49342f0a,A
Fall 2021,dd6453d7,Mahjong Strategy,010,15444bc9,B
Fall 2021,1af566c4,Eel Catching,001A,d879e30c,W
Fall 2021,c9951997,Mahjong Strategy,003A,baf61b70,B
Fall 2021,fc332339,Eel Catching,001B,9640271f,B
Fall 2021,d57c4893,Mahjong Strategy,010,9640271f,W
Fall 2021,2a2fe6ac,Eel Catching,001B,8047699c,A
Fall 2021,2a2fe6ac,Eel Catching,001B,a4e7f502,A
Fall 2021,0ac56725,Apple Picking,035A,5a640494,A
Fall 2021,c0359647,Eel Catching,001C,44258590,B
Fall 2021,97f3fcd6,Mahjong Strategy,003A,7f614a6b,W
Fall 2021,55142fe5,Crocheting,008,9dabee59,A
Fall 2021,3784f087,Apple Picking,001DH,dd5260ed,A
Fall 2021,d57c4893,Mahjong Strategy,010,2bae4b4f,B
Fall 2021,dd6453d7,Mahjong Strategy,010,986733bd,W
Fall 2021,10672195,Crocheting,001,46e895b5,A
Fall 2021,759a3a3b,Mahjong Strategy,010,a572ac09,B
Fall 2021,e49a8a4f,Crocheting,012,2a90f96b,B
Fall 2021,f38e01c7,Mahjong Strategy,010,d94008ac,W
Fall 2021,25bc76d9,Mahjong Strategy,004A,d775c6cd,W
Fall 2021,2bfe8e62,Mahjong Strategy,012,d289559c,C
Fall 2021,88823e19,Mahjong Strategy,012C,d289559c,NP
Fall 2021,3666b21a,Mahjong Strategy,010,bb42229b,A
Fall 2021,a1f017a7,Mahjong Strategy,010C,bb42229b,P
Fall 2021,f42de7fd,Mahjong Strategy,010,d273aa21,A
Fall 2021,7c38ba0a,Eel Catching,001C,0e4734d2,C
Fall 2021,d404225d,Crocheting,010,7122560d,B
Fall 2021,d8c31d62,Apple Picking,067B,47307efe,W
Fall 2021,653395d7,Mahjong Strategy,004A,ba842bc9,W
Fall 2021,e8f21287,Crocheting,001,0c0acfc0,D
Fall 2021,16d0b9f9,Crocheting,001,f4b2a56a,B
Fall 2021,cf709a6a,Mahjong Strategy,003B,5d6d7d7e,F
Fall 2021,d57a6a7a,Eel Catching,044,a0b48a4d,A
Fall 2021,8419782a,Eel Catching,001B,5dac6b3b,B
Fall 2021,08504c05,Mahjong Strategy,001,5dac6b3b,A
Fall 2021,732fc83b,Crocheting,001,392f5b55,D
Fall 2021,b5b1b131,Crocheting,001,ef1eaf7d,A
Fall 2021,ce6de270,Mahjong Strategy,010,30029fa7,F
Fall 2021,5faa5eb5,Crocheting,020,3d4d79f9,B
Fall 2021,f0a4d7a5,Mahjong Strategy,000D,a8c49ca2,A
Fall 2021,483fd22e,Mahjong Strategy,106,a8c49ca2,A
Fall 2021,2c59007a,Eel Catching,001B,3f772359,W
Fall 2021,e7c85d2a,Eel Catching,903,4de88141,NP
Fall 2021,dd6453d7,Mahjong Strategy,010,3ffb2c69,W
Fall 2021,e55f6127,Crocheting,001,359b4a32,C
Fall 2021,320bf14c,Crocheting,001,b060c93f,W
Fall 2021,5b8d654a,Eel Catching,001A,6f998db6,F
Fall 2021,254ef9b2,Eel Catching,001A,8b4e160f,A
Fall 2021,c9951997,Mahjong Strategy,003A,8b4e160f,A
Fall 2021,dff84d37,Mahjong Strategy,010,e49d1329,B
Fall 2021,d6289a49,Eel Catching,001A,222bee24,B
Fall 2021,ce6de270,Mahjong Strategy,010,222bee24,B
Fall 2021,cf709a6a,Mahjong Strategy,003B,bd98c181,A
Fall 2021,21c1733e,Mahjong Strategy,010,30eda1e9,C
Fall 2021,55142fe5,Crocheting,008,9afeb76b,B
Fall 2021,dd6453d7,Mahjong Strategy,010,9afeb76b,B
Fall 2021,f1501400,Mahjong Strategy,003B,434449c6,B
Fall 2021,de191b8d,Apple Picking,062B,6cc76e6b,A
Fall 2021,9e8ec9f3,Mahjong Strategy,004A,d736dec7,C
Fall 2021,a4d9df10,Mahjong Strategy,003A,6d926ded,B
Fall 2021,a1245692,Apple Picking,001A,e15b0d63,A
Fall 2021,e7c85d2a,Eel Catching,903,0ea92cba,W
Fall 2021,7ee88e20,Eel Catching,905,0ea92cba,P
Fall 2021,0f39a651,Eel Catching,001A,096f6d56,A
Fall 2021,7259c7e7,Eel Catching,007A,acc1a6ef,B
Fall 2021,bbc0d2fe,Eel Catching,070,acc1a6ef,A
Fall 2021,f604ca05,Mahjong Strategy,003B,703d1fd0,F
Fall 2021,c12f5403,Apple Picking,031A,68763d85,W
Fall 2021,05cf8dbc,Crocheting,001,68763d85,W
Fall 2021,b3d50d99,Crocheting,004,53d50a53,A
Fall 2021,55142fe5,Crocheting,008,53d50a53,A
Fall 2021,5faa5eb5,Crocheting,020,53d50a53,A
Fall 2021,759a3a3b,Mahjong Strategy,010,36e33a76,C
Fall 2021,c9951997,Mahjong Strategy,003A,1dba5e2e,W
Fall 2021,6dba3cf4,Mahjong Strategy,004A,44e40194,D
Fall 2021,3f26be2b,Mahjong Strategy,004C,44e40194,C
Fall 2021,86753e4c,Mahjong Strategy,012,5cb32559,A
Fall 2021,6dba3cf4,Mahjong Strategy,004A,d2a640b0,D
Fall 2021,3f26be2b,Mahjong Strategy,004C,d2a640b0,F
Fall 2021,2a2fe6ac,Eel Catching,001B,a5ad6643,A
Fall 2021,16d0b9f9,Crocheting,001,c627f7c1,A
Fall 2021,94bef8a0,Eel Catching,001B,c627f7c1,A
Fall 2021,6e1ee7f6,Apple Picking,004,99165920,W
Fall 2021,f604ca05,Mahjong Strategy,003B,96bccd67,B
Fall 2021,45742f76,Mahjong Strategy,001,40ef5c70,W
Fall 2021,35817482,Crocheting,004,b4e00b73,A
Fall 2021,08de57b8,Crocheting,007,b4e00b73,A
Fall 2021,857ac0ce,Crocheting,012,b4e00b73,B
Fall 2021,9cd4093e,Mahjong Strategy,014,b4e00b73,A
Fall 2021,653395d7,Mahjong Strategy,004A,40d3e9aa,D
Fall 2021,b83c5a88,Apple Picking,067A,1fd82805,A
Fall 2021,f0c9452b,Apple Picking,031A,a2c3d6c4,A
Fall 2021,16d0b9f9,Crocheting,001,a2c3d6c4,A
Fall 2021,35817482,Crocheting,004,9638e3cb,A
Fall 2021,99563417,Eel Catching,001B,5fad7823,F
Fall 2021,2bab8c61,Apple Picking,013,9e89a5cf,W
Fall 2021,dd6453d7,Mahjong Strategy,010,17dcbf37,F
Fall 2021,d28c2666,Eel Catching,001C,2be86259,C
Fall 2021,d3b30537,Apple Picking,031A,30642bde,W
Fall 2021,48d753ff,Mahjong Strategy,106,10d7ebc6,A
Fall 2021,d6289a49,Eel Catching,001A,09776b66,W
Fall 2021,9720c0b0,Eel Catching,001B,2c4a87b9,B
Fall 2021,73edd4c4,Mahjong Strategy,010,7b39beb1,B
Fall 2021,737a6e55,Mahjong Strategy,010C,7b39beb1,P
Fall 2021,78d2bc45,Eel Catching,001C,2ff1c0b2,B
Fall 2021,bbc0d2fe,Eel Catching,070,2ff1c0b2,W
Fall 2021,3d7720b2,Mahjong Strategy,010,d2734e67,A
Fall 2021,3da0cc8c,Crocheting,001,f0945b4a,C
Fall 2021,732fc83b,Crocheting,001,c3127956,C
Fall 2021,9ec8eaa3,Eel Catching,001B,ab398738,D
Fall 2021,857ac0ce,Crocheting,012,18c80cae,W
Fall 2021,55142fe5,Crocheting,008,2fb71d49,A
Fall 2021,64433aee,Mahjong Strategy,010,7d2b6de4,W
Fall 2021,e0e44ded,Eel Catching,001B,0a4b28ff,B
Fall 2021,50af4a61,Crocheting,001,d5df404f,C
Fall 2021,d8c31d62,Apple Picking,067B,49f6a418,F
Fall 2021,df973434,Mahjong Strategy,004B,8a951e3a,W
Fall 2021,12da36be,Mahjong Strategy,002,71b5e5b2,D
Fall 2021,d57c4893,Mahjong Strategy,010,b478d485,C
Fall 2021,732fc83b,Crocheting,001,a89506f6,B
Fall 2021,92c656a9,Mahjong Strategy,012,b6649cd3,A
Fall 2021,c9951997,Mahjong Strategy,003A,144ff201,W
Fall 2021,9dcdb437,Apple Picking,033C,30da6f1d,A
Fall 2021,5faa5eb5,Crocheting,020,a498543f,F
Fall 2021,9174a644,Eel Catching,001B,63953f16,A
Fall 2021,09d7b85f,Crocheting,004,5be5994e,A
Fall 2021,bd0e4c87,Apple Picking,001A,9cad877e,F
Fall 2021,10672195,Crocheting,001,d1109526,B
Fall 2021,27301841,Eel Catching,001A,d1109526,A
Fall 2021,7ee88e20,Eel Catching,905,c162154f,W
Fall 2021,86753e4c,Mahjong Strategy,012,0bdaa43b,W
Fall 2021,320bf14c,Crocheting,001,192d393a,B
Fall 2021,05cf8dbc,Crocheting,001,a67870c3,A
Fall 2021,d5ca445f,Mahjong Strategy,003A,0c4fff01,W
Fall 2021,54a79340,Apple Picking,033A,cde5bcab,A
Fall 2021,ce6de270,Mahjong Strategy,010,346bc0a0,B
Fall 2021,a313bc87,Apple Picking,081,87984e6e,B
Fall 2021,857ac0ce,Crocheting,012,87984e6e,A
Fall 2021,f42de7fd,Mahjong Strategy,010,87984e6e,A
Fall 2021,5cad6517,Apple Picking,057A,deef2c3e,A
Fall 2021,9de80aef,Crocheting,010,306d1222,B
Fall 2021,546f214a,Mahjong Strategy,010,306d1222,C
Fall 2021,6afb8359,Mahjong Strategy,010C,306d1222,P
Fall 2021,73edd4c4,Mahjong Strategy,010,b54beb16,F
Fall 2021,737a6e55,Mahjong Strategy,010C,b54beb16,P
Fall 2021,fc332339,Eel Catching,001B,9677291d,F
Fall 2021,2c59007a,Eel Catching,001B,6614707c,W
Fall 2021,9ec8eaa3,Eel Catching,001B,6614707c,W
Fall 2021,2e74a477,Crocheting,001,e7609799,W
Fall 2021,eccf1404,Crocheting,001,e65bf7a5,F
Fall 2021,e8f21287,Crocheting,001,8c65b5eb,A
Fall 2021,09d7b85f,Crocheting,004,80d4d8bc,B
Fall 2021,73edd4c4,Mahjong Strategy,010,80d4d8bc,B
Fall 2021,737a6e55,Mahjong Strategy,010C,80d4d8bc,P
Fall 2021,602e454b,Apple Picking,062A,fd01a3bc,B
Fall 2021,546f214a,Mahjong Strategy,010,22e931ec,A
Fall 2021,6afb8359,Mahjong Strategy,010C,22e931ec,P
Fall 2021,9cd4093e,Mahjong Strategy,014,e9a0615d,W
Fall 2021,12da36be,Mahjong Strategy,002,fc6778ac,W
Fall 2021,4a816ec1,Mahjong Strategy,004B,62712811,A
Fall 2021,9956edf1,Mahjong Strategy,003B,ee74a8ca,A
Fall 2021,39f60566,Apple Picking,001A,48d5fe66,W
Fall 2021,c9951997,Mahjong Strategy,003A,71f993a5,F
Fall 2021,5faa5eb5,Crocheting,020,4f9f1bc3,A
Fall 2021,99563417,Eel Catching,001B,20bdda7f,A
Fall 2021,24c17302,Crocheting,012,747cc425,B
Fall 2021,3f26be2b,Mahjong Strategy,004C,ecbd2614,A
Fall 2021,ad4261ab,Eel Catching,001B,cd599a8f,A
Fall 2021,653395d7,Mahjong Strategy,004A,902d71fd,A
Fall 2021,25bc76d9,Mahjong Strategy,004A,bffe11a8,B
Fall 2021,f0a4d7a5,Mahjong Strategy,000D,2fa9558e,A
Fall 2021,da6775dc,Mahjong Strategy,106,8780240c,W
Fall 2021,6f451884,Mahjong Strategy,106C,8780240c,W
Fall 2021,053baf3b,Apple Picking,065B,6aa591eb,A
Fall 2021,eccf1404,Crocheting,001,6aa591eb,B
Fall 2021,ce6de270,Mahjong Strategy,010,6aa591eb,W
Fall 2021,84e3a411,Mahjong Strategy,002,eb93f807,W
Fall 2021,86bf8463,Mahjong Strategy,019,de014bc1,B
Fall 2021,86753e4c,Mahjong Strategy,012,e60829e9,C
Fall 2021,9956edf1,Mahjong Strategy,003B,6ba8f26f,C
Fall 2021,e8f21287,Crocheting,001,9d498fd8,W
Fall 2021,a313bc87,Apple Picking,081,775e6402,B
Fall 2021,3666b21a,Mahjong Strategy,010,775e6402,F
Fall 2021,a1f017a7,Mahjong Strategy,010C,775e6402,NP
Fall 2021,2c59007a,Eel Catching,001B,897f3c8f,W
Fall 2021,27301841,Eel Catching,001A,3fafdacf,C
Fall 2021,f4335eb5,Mahjong Strategy,106,3fafdacf,C
Fall 2021,e55f6127,Crocheting,001,4eb8e3d8,W
Fall 2021,45742f76,Mahjong Strategy,001,5f0f9184,A
Fall 2021,0412b3e7,Apple Picking,004,7ec1f78d,C
Fall 2021,3666b21a,Mahjong Strategy,010,7ec1f78d,C
Fall 2021,a1f017a7,Mahjong Strategy,010C,7ec1f78d,NP
Fall 2021,73edd4c4,Mahjong Strategy,010,e7dde9ea,D
Fall 2021,737a6e55,Mahjong Strategy,010C,e7dde9ea,P
Fall 2021,ce6de270,Mahjong Strategy,010,f5f89e83,A
Fall 2021,25bc76d9,Mahjong Strategy,004A,2cc9d6d3,A
Fall 2021,4a816ec1,Mahjong Strategy,004B,2cc9d6d3,A
Fall 2021,20e84103,Mahjong Strategy,004C,2cc9d6d3,A
Fall 2021,d2c536c9,Mahjong Strategy,003A,6ca9105e,W
Fall 2021,7ee88e20,Eel Catching,905,dd3d9c79,P
Fall 2021,da6775dc,Mahjong Strategy,106,dd3d9c79,A
Fall 2021,6f451884,Mahjong Strategy,106C,dd3d9c79,P
Fall 2021,9174a644,Eel Catching,001B,d901b083,B
Fall 2021,19cd8513,Apple Picking,095,93f29682,B
Fall 2021,08de57b8,Crocheting,007,93f29682,C
Fall 2021,b0dc1bf8,Apple Picking,001B,a8899746,C
Fall 2021,b3d50d99,Crocheting,004,bb16daeb,B
Fall 2021,a58a0518,Eel Catching,001B,fd148437,W
Fall 2021,64433aee,Mahjong Strategy,010,fd148437,W
Fall 2021,94bef8a0,Eel Catching,001B,1124f46b,A
Fall 2021,20e84103,Mahjong Strategy,004C,5f422ed9,B
Fall 2021,93afe466,Apple Picking,062C,ee2c7b25,A
Fall 2021,be7ee771,Mahjong Strategy,000D,7f491584,A
Fall 2021,ce70c0d7,Apple Picking,033A,f7f46fb0,W
Fall 2021,86753e4c,Mahjong Strategy,012,b5370226,W
Fall 2021,da6775dc,Mahjong Strategy,106,ba1ae9bb,F
Fall 2021,6f451884,Mahjong Strategy,106C,ba1ae9bb,P
Fall 2021,3d7720b2,Mahjong Strategy,010,142dce06,B
Fall 2021,0edd03d1,Apple Picking,047B,a70e14e6,A
Fall 2021,9e09cdb4,Eel Catching,001C,8aa07f88,W
Fall 2021,6e1ee7f6,Apple Picking,004,4879c89e,W
Fall 2021,9cd4093e,Mahjong Strategy,014,4879c89e,C
Fall 2021,bd0e4c87,Apple Picking,001A,69eac9a9,B
Fall 2021,c12f5403,Apple Picking,031A,69eac9a9,C
Fall 2021,9361d0dd,Apple Picking,049A,69eac9a9,C
Fall 2021,a313bc87,Apple Picking,081,69eac9a9,B
Fall 2021,7ee88e20,Eel Catching,905,d75509da,W
Fall 2021,48d753ff,Mahjong Strategy,106,d75509da,W
Fall 2021,22986d6a,Eel Catching,018,93c01ad2,C
Fall 2021,09d7b85f,Crocheting,004,7e01a016,A
Fall 2021,08de57b8,Crocheting,007,7e01a016,A
Fall 2021,d404225d,Crocheting,010,7e01a016,A
Fall 2021,5faa5eb5,Crocheting,020,7e01a016,A
Fall 2021,2bfe8e62,Mahjong Strategy,012,264fc1ee,A
Fall 2021,88823e19,Mahjong Strategy,012C,264fc1ee,P
Fall 2021,6e1ee7f6,Apple Picking,004,177f7a42,B
Fall 2021,850bd3c3,Eel Catching,001B,fd690742,C
Fall 2021,f38e01c7,Mahjong Strategy,010,fd690742,B
Fall 2021,295da6fd,Eel Catching,001A,64b7f9f8,F
Fall 2021,3666b21a,Mahjong Strategy,010,64b7f9f8,F
Fall 2021,a1f017a7,Mahjong Strategy,010C,64b7f9f8,NP
Fall 2021,9662000e,Apple Picking,014,1d80e603,W
Fall 2021,857ac0ce,Crocheting,012,1d80e603,W
Fall 2021,b0dc1bf8,Apple Picking,001B,f4ad5ece,C
Fall 2021,09d7b85f,Crocheting,004,f4ad5ece,C
Fall 2021,4a816ec1,Mahjong Strategy,004B,fab2f360,A
Fall 2021,f1501400,Mahjong Strategy,003B,9b985b97,C
Fall 2021,6dba3cf4,Mahjong Strategy,004A,a6333f04,C
Fall 2021,b798bdce,Apple Picking,088A,4e99c8dd,A
Fall 2021,c0359647,Eel Catching,001C,12a6459c,W
Fall 2021,78d2bc45,Eel Catching,001C,12a6459c,B
Fall 2021,fc332339,Eel Catching,001B,9f73a11a,D
Fall 2021,73edd4c4,Mahjong Strategy,010,9f73a11a,W
Fall 2021,737a6e55,Mahjong Strategy,010C,9f73a11a,W
Fall 2021,d2c536c9,Mahjong Strategy,003A,116978af,B
